"","Mech","lScore","pred","mean_resid","median_resid"
"1","Adder",7.78270639157321,7.72261516888122,0.0600912226919893,0.0115061344470888
"2","Archer",7.73324452052849,7.85665165173145,-0.123407131202957,-0.148240984474085
"3","Arctic Cheetah",7.94862068602924,7.69280647091273,0.255814215116513,0.219250417266275
"4","Atlas",7.92501086082791,7.92562322998664,-0.000612369158725095,-0.0283267573907544
"5","Awesome",7.98492422836774,7.88247312041726,0.102451107950484,0.0704936705058712
"6","Banshee",7.92941779552265,7.91570445232104,0.0137133432016049,-0.046302739743953
"7","Battlemaster",8.02481331468062,7.89419633203854,0.13061698264208,0.0768894214670626
"8","Black Knight",7.77807500148382,7.86999306333235,-0.0919180618485291,-0.13194076564303
"9","Blackjack",7.87037921834724,7.77121278710867,0.0991664312385725,0.0615947294161918
"10","Cataphract",7.75025930447946,7.85665165173145,-0.106392347251991,-0.134416907021845
"11","Catapult",7.82791520801631,7.84232111383527,-0.0144059058189525,-0.0263072746762392
"12","Centurion",7.81961412795022,7.7915867471364,0.028027380813818,-0.0125381022108471
"13","Cicada",7.87024195447342,7.74843663756702,0.121805316906392,0.0875379441545423
"14","Commando",7.56868083422339,7.65755026428617,-0.0888694300627778,-0.118523208462172
"15","Crab",7.75811408769634,7.7915867471364,-0.0334726594400631,-0.0737905361228215
"16","Dire Wolf",8.07448759278653,7.92562322998664,0.148864362799888,0.112243004722979
"17","Dragon",7.61636896653953,7.82684295376297,-0.210473987223436,-0.244613759486505
"18","Ebon Jaguar",7.9193725549579,7.84232111383527,0.0770514411226288,0.032418011336544
"19","Enforcer",7.78654791270135,7.81001723583936,-0.0234693231380097,-0.035161469173838
"20","Executioner",7.89065125784457,7.91570445232104,-0.0250531944764731,-0.0695056368236173
"21","Firestarter",7.6736923207897,7.72261516888122,-0.048922848091513,-0.107809804170143
"22","Gargoyle",7.86225283907221,7.88247312041726,-0.0202202813450472,-0.0417666686678606
"23","Grasshopper",7.80986692100973,7.85665165173145,-0.046784730721719,-0.105606533759651
"24","Griffin",7.8068653359548,7.81001723583936,-0.00315189988455356,-0.036843555356822
"25","Hellbringer",7.86600916377348,7.84232111383527,0.0236880499382131,-0.0182751029789747
"26","Highlander",7.77133097695723,7.90524926995891,-0.133918293001682,-0.182129177692578
"27","Highlander IIC",7.9192656914375,7.90524926995891,0.0140164214785876,-0.0240670677318073
"28","Hunchback",7.82928340632529,7.7915867471364,0.0376966591888855,0.0260386959169665
"29","Hunchback IIC",7.96913534323907,7.7915867471364,0.17754859610267,0.15503081610807
"30","Ice Ferret",7.70194676344929,7.77121278710867,-0.0692660236593835,-0.112513228840373
"31","Jagermech",7.81969816298695,7.84232111383527,-0.0226229508483118,-0.0429777156193465
"32","Jenner",7.7552730839799,7.72261516888122,0.0326579150986802,0.0119436754735398
"33","Jenner IIC",7.7659224042419,7.72261516888122,0.0433072353606844,0.0154371288080997
"34","King Crab",7.97720207967162,7.92562322998664,0.0515788496849804,0.0287490425452273
"35","Kintaro",7.73480652800627,7.81001723583936,-0.0752107078330898,-0.0926659636540288
"36","Kit Fox",7.65673671426903,7.69280647091273,-0.0360697566437029,-0.062830763884941
"37","Kodiak",8.2059107292139,7.92562322998664,0.280287499227262,0.250205778727958
"38","Locust",7.8196162210046,7.61440015471679,0.20521606628781,0.167990180870672
"39","Mad Dog",7.83566057257194,7.82684295376297,0.00881761880897262,-0.0386313959158908
"40","Marauder",7.85822856887831,7.86999306333235,-0.0117644944540341,-0.0519651248016162
"41","Mauler",8.03291862844598,7.90524926995891,0.127669358487073,0.107100369368886
"42","Mist Lynx",7.54511984355195,7.65755026428617,-0.112430420734216,-0.14876309365189
"43","Nova",8.05113203552417,7.7915867471364,0.25954528838777,0.236868416977849
"44","Orion",7.72206687443438,7.86999306333235,-0.147926188897969,-0.199564541141653
"45","Orion IIC",7.74352989798559,7.86999306333235,-0.126463165346752,-0.146430591054376
"46","Panther",7.60742767892491,7.72261516888122,-0.115187489956306,-0.162014006112659
